English,ASL Gloss
Where did you grow up?, YOU GROW UP WHERE?
I grew up in Indiana., I GREW UP #IND.
I grew up in Indianapolis Indiana., I GREW UP INDIANAPOLIS #IND.
I grew up in Minneapolis Minnesota., GREW UP MINNEAPOLIS #MINN.
I grew up in Pittsburgh Pennsylvania., I GREW UP PITTSBURGH #PA.
Where were you born?, YOU BORN WHERE?
I was born in New York., I BORN NEW YORK.
I was born in London England., I BORN LONDON ENGLAND.
I was born in Houston Texas., I BORN HOUSTON TEXAS.
Where do you work?, YOU WORK WHERE?
I work at a school., SCHOOL I WORK.
What do you do?, YOU WORK YOU DO-DO?
I'm a teacher., TEACHER ME.
I'm an interpreter., INTERPRETER ME.
I'm an author., AUTHOR ME.
Are you married?, MARRIAGE YOU?
Are you single?, SINGLE YOU?
I'm divorced., DIVORCED ME.
I'm separated., SEPARATED ME.
Do you have any children?, CHILDREN HAVE YOU?
How many children do you have?, CHILDREN YOU HAVE HOW MANY?
I have 2 children 1 boy and 1 girl., 2 CHILDREN I HAVE. 1 BOY 1 GIRL.
Yes I live in a house., YES HOUSE I LIVE.
No I live in an apartment., NO I LIVE APARTMENT.
No I live in a townhouse., NO I LIVE #TH.
How many bedrooms and bathrooms do you have?, BEDROOMS BATHROOMS YOU HAVE HOW MANY?
I have 3 bedrooms and 2 bathrooms., I HAVE 3 BEDROOMS 2 BATHROOMS.
I have two bedrooms and one and a half bathrooms., 2 BEDROOMS 1 1/2 BATHROOMS I HAVE.
I have five bedrooms and four and a half bathrooms., I HAVE 5 BEDROOMS 4 1/2 BATHROOMS.
When is your birthday?, YOUR BIRTHDAY WHEN?
My birthday is August 28th., MY BIRTHDAY A-U-G 28.
My birthday is January 14th., MY BIRTHDAY J-A-N 14.
I am excited my birthday is tomorrow!, TOMORROW MY BIRTHDAY I EXCITED.
My 29th birthday is tomorrow! (Just kidding!), TOMORROW MY BIRTHDAY! I OLD 29. WINK-WINK.
Where do you like to shop?, YOU LIKE SHOP WHERE?
I like to go to Target Macy's and Best Buy., I LIKE GO-TO ONE-OF-THREE T-A-R-G-E-T TWO-OF-THREE M-A-C-Y'S THREE-OF-THREE B-E-S-T B-U-Y.
I only shop online., ONLY SHOP ONLINE.
I enjoy browsing at Bed Bath and Beyond., B-E-D B-A-T-H B-E-Y-O-N-D LOOKING-AROUND ENJOY I.
I need to buy new comfortable shoes before I go to Disney World., NEW COMFORTABLE SHOES NEED BUY I WHY? DISNEY WORLD GO-TO WILL I.
Do you have any hobbies?, #HOBBY ANY YOU HAVE?
I like to golf and play hockey., GOLF PLAY HOCKEY I LIKE.
I sew often., SEW OFTEN I.
I like to watch college football., COLLEGE FOOTBALL WATCH I LIKE.
I love watching sports every Saturday., EVERY SATURDAY #SPORTS WATCH I LOVE.
What do you like to do on your time off?, YOU OFF YOU LIKE DO-DO?
I like to relax at home., I LIKE HOME RELAX.
I like going to the movies., MOVIE GO-TO I LIKE.
I love to shop., SHOPPING LOVE I.
My favorite time to swim is 8 in the morning., MY FAVORITE TIME SWIM WHEN? 8 MORNING.
Do you like to travel?, TRAVEL YOU ENJOY?
Yes I enjoy traveling., YES I ENJOY TRAVEL.
No I do not like to travel., NO I DON'T-LIKE TRAVEL.
I visited Gallaudet University two years ago., 2 YEARS AGO GALLAUDET UNIVERSITY I VISIT.
Have you been outside of the country before?, TOUCH-FINISH OTHER COUNTRY YOU.
Yes I've been to France Germany Switzerland., YES FRANCE GERMANY SWITZERLAND TOUCH-FINISH I.
No but next year I am going to England Scotland and Ireland., NO BUT NEXT-YEAR ENGLAND SCOTLAND IRELAND I TRAVEL.
No I've never been to another country because I'm afraid to fly., NO NOT-YET TOUCH OTHER COUNTRY. WHY? AFRAID FLY ME.
What is your favorite color?, YOUR FAVORITE COLOR WHAT?
My favorite color is green., MY FAVORITE COLOR GREEN.
My favorite drink is apple juice., MY FAVORITE DRINK WHAT? APPLE J-U-I-C-E?
What is your favorite sport to watch?, YOUR FAVORITE SPORT WATCH WHAT?
My favorite sport to watch is college football., MY FAVORITE SPORT WATCH WHAT? COLLEGE FOOTBALL.
What is your favorite sport to play?, YOUR FAVORITE SPORT PLAY WHAT?
My favorite sport is basketball., MY FAVORITE SPORT PLAY BASKETBALL.
Do you like to watch baseball?, BASEBALL WATCH YOU LIKE?
Have you eaten yet?, EAT YOU NOT-YET?
Yes I already ate dinner., YES DINNER EAT-FINISH.
No I'm starving., NO STARVING I.
I'm going out to eat later., LATER GO-OUT EAT I.
Where do you want to go for lunch?, LUNCH YOU WANT GO WHERE?
I want to go to Subway., SUBWAY GO-TO I WANT.
I would rather eat at home tonight., TONIGHT STAY HOME EAT I PREFER.
Why don't we go to an Italian restaurant?, ITALIAN RESTAURANT GO-OUT EAT WHY NOT TWO-OF-US?
What are you going to order?, YOU ORDER WHAT?
I want a hamburger french fries and pop., HAMBURGER FRENCH FRIES POP I WANT.
I want spaghetti and a greek salad without olives., SPAGHETTI GREEK SALAD WITHOUT O-L-I-V-E-S I WANT.
I'm not hungry I'll just order soup., ME NOT HUNGRY SOUP ORDER FINISH.
Do you want a drink?, DRINK WANT YOU?
I want a coke., I WANT COKE.
I want a large ice tea., I WANT LARGE #ICE TEA.
I want a black coffee please., I WANT COFFEE BLACK PLEASE.
I need a drink of water., WATER DRINK I NEED.
Would you like dessert?, DESSERT YOU WANT?
No I'm full., NO I FULL.
Yes of course what do you have?, YES OF COURSE YOU HAVE WHAT?
I want chocolate ice cream., YES CHOCOLATE ICE CREAM I WANT.
What is your favorite food?, YOUR FAVORITE FOOD WHAT?
I love bacon eggs and toast., BACON EGGS TOAST ENJOY I.
I love apples. I eat one every day., APPLES I LOVE. EVERY DAY EAT I.
I love warm chocolate chip cookies., WARM CHOCOLATE CHIP COOKIES ENJOY I.
My favorite food is pizza., MY FAVORITE FOOD WHAT? PIZZA.
I love anything that has chocolate in it., I LOVE ANYTHING HAVE CHOCOLATE INSIDE.
I love to cook hamburgers on the grill., G-R-I-L-L HAMBURGERS COOK I LOVE.
What is your favorite drink?, YOUR FAVORITE DRINK WHAT?
My favorite author is me!, MY FAVORITE AUTHOR WHO? ME!
Do you want to go out?, GO-OUT WANT YOU?
Yes where do you want to go?, YES YOU WANT GO-OUT WHERE?
Let's go to a basketball game., BASKETBALL GAME GO-OUT TWO-OF-US.
Let's go to a show., SHOW GO-TO TWO-OF-US.
Let's go for a walk in the park., TWO-OF-US GO-TO P-A-R-K WALK.
What time do you want to go?, GO TIME YOU WANT?
Why don't we meet at 3:30pm?, WHY NOT MEET TIME 3:30.
Which is better noon or 12:30pm?, NOON 12:30 BETTER WHICH?
Does 7pm work?, TIME 7 NIGHT ACCEPT YOU?
What is your favorite book?, YOUR FAVORITE BOOK WHAT?
My favorite book is The Little Blue Truck., MY FAVORITE BOOK WHAT? QUOTE T-H-E LITTLE BLUE T-R-U-C-K QUOTE.
My favorite book is Harry Potter., MY FAVORITE BOOK WHAT? QUOTE H-A-R-R-Y P-O-T-T-E-R .
Who is your favorite author?, YOUR FAVORITE AUTHOR WHO?
My favorite author is Mark Twain., MY FAVORITE AUTHOR WHO? M-A-R-K T-W-A-I-N .
My favorite author is Dr. Seuss., MY FAVORITE AUTHOR WHO? #DR S-E-U-S-S .
Are you feeling better?, YOU FEELING BETTER YOU.
I haven't seen you in a long time., NOT SEEN SINCE.
Where have you been?, WHERE YOU BEEN?
Where have you been?, WHERE YOU SINCE?
Everything is the same., NOTHING STATUS QUO.
Yes I feel better., YES FEEL BETTER.
My thirteen year old daughter is an old soul., MY DAUGHTER OLD THIRTEEN QUOTE OLD SOUL.
The milk was no good so I tossed it., MILK NO GOOD TOSS.
Would you please toss the salad?, SALAD TOSS DON'T-MIND YOU?
My cousin tried to fool my grandma and steal her money., MY COUSIN TRIED FOOL MY GRANDMA STEAL HER MONEY.
My sister is really good at tossing balls., BALL MY SISTER EXPERT TOSS.
My friends are coming to my house for supper tomorrow., TOMORROW MY HOUSE FRIENDS COME SUPPER.
To be successful it helps to have good grammar., YOU WANT SUCCESS IMPORTANT HAVE GOOD GRAMMAR.
My family always gets together for Independence Day every year., EVERY YEAR INDEPENDENCE DAY MY FAMILY ALWAYS GET-TOGETHER.
Yesterday I tossed out my old clothes., YESTERDAY I TOSSED OUT MY OLD CLOTHES.
I enjoy having a conversation with my deaf friends., MY DEAF FRIENDS I ENJOY CONVERSATION.
Lowell Myers was a deaf man who grew up in Chicago. He wrote the book "The Law and the Deaf.", L-O-W-E-L-L M-Y-E-R-S HIMSELF DEAF GROW UP WHERE? CHICAGO WROTE BOOK QUOTE "T-H-E L-A-W AND T-H-E DEAF."
Mandy Harvey became deaf at the age of 18. Interestingly enough she was a singer on the television show "America's Got Talent.", M-A-N-D-Y H-A-R-V-E-Y HERSELF BECOME DEAF AGE 18. INTERESTING WHAT? SHE SINGER #TV PROGRAM QUOTE "AMERICA'S G-O-T T-A-L-E-N-T."
Alice Hagemeyer was a deaf librarian and active leader that established Deaf Awareness Week and Deaf History Month., A-L-I-C-E H-A-G-E-M-E-Y-E-R HERSELF DEAF LIBRARIAN. SHE ACTIVE LEADER SHE ESTABLISHED DEAF AWARENESS WEEK AND DEAF HISTORY MONTH.
Regina Hughes was the first deaf artist to have a solo show at the Smithsonian., REGINA HUGHES HERSELF FIRST DEAF ARTIST HAVE SOLO SHOW WHERE? SMITHSONIAN.
Ernest Hairston was one of the six founding members of the Black Deaf Advocates (BDA)., E-R-N-E-S-T H-A-I-R-S-T-O-N HIMSELF DEAF ONE OF SIX FOUNDING MEMBERS B-D-A BLACK DEAF ADVOCATES.
Malcolm Norwood was a deaf man from Connecticut who was known as the Father of Closed Captioning., M-A-L-C-O-L-M N-O-R-W-O-O-D HIMSELF DEAF FROM C-O-N-N PEOPLE CALLED QUOTE FATHER OF #CC (captions).
Martin Belsky was a deaf man from Michigan who was a leader of deaf sports at the local and national level., MARTIN BELSKY HIMSELF DEAF FROM MICHIGAN MANY YEARS INVOLVED LEADER DEAF S-P-O-R-T-S LOCAL AND NATIONAL LEVEL.
I always tell my students to reach for the stars., I ALWAYS TELL MY STUDENTS QUOTE REACH FOR STARS.
The famous painting sold for a million dollars at the auction., FAMOUS PAINTING SOLD AUCTION HOW MUCH? ONE MILLION DOLLARS.
My daughter took a chance when she quit her job and started her own company. Luckily it has taken off and is successful., MY DAUGHTER TOOK A CHANCE (GAMBLE) QUIT HER JOB ESTABLISHED HER OWN COMPANY LUCKY SUCCESSFUL SKYROCKET.
It will soon be time to decorate for Christmas., SOON TIME NEAR DECORATE CHRISTMAS.
Honesty is very important in a relationship., RELATIONSHIP IMPORTANT WHAT? HONESTY!
The milk was no good so I threw it away., MILK NO GOOD THREW AWAY.
Do you live in a house?, HOUSE YOU LIVE?
I was afraid of the water but I went for broke and jumped in and now I love it., BEFORE ME AFRAID WATER ONE DAY I RISK (go for broke) JUMPED-IN NOW I LOVE SWIM.
Long time no see., LONG NO SEE.
How have you been doing?, HOW YOU?
Long time no see! How have you been doing?, LONG SEE NO. HOW YOU?
How did you come to work?, WORK HOW?
My children are Mary and Bob., CHILDREN MY LIST-1 MARY LIST-2 BOB.
I write everyday., EVERYDAY I WRITE.
I clean everyday., EVERYDAY I CLEAN.
Wait a moment the phone is ringing., ONE MOMENT PHONE THERE RING.
Are you busy?, BUSY-BUSY.
The man came up to me., MAN CAME-UP-TO-ME.
I teach., I TEACH.
Where do you work now?, YOU WORK NOW WHERE?
Where do you work now?, WHERE YOU WORK NOW WHERE?
He is a social drinker., SOCIAL DRINKING HE (point).
Do you use google.com?, G-O-O-G-L-E DOT C-O-M YOU USE?
Santa loves hot cocoa and cookies., SANTA LOVES HOT COCOA COOKIES.
Deaf people use a teletypewriter to communicate over the phone., DEAF PEOPLE COMMUNICATE THROUGH TELEPHONE HOW? USE TELETYPEWRITER (#TTY).
Wait a moment the telephone is ringing., ONE MOMENT TELEPHONE THERE RING.
Merry Christmas and a Happy New Year!, MERRY CHRISTMAS HAPPY NEW YEAR!
I couldn't drink the milk because it was sour., I COULD NOT DRINK MILK WHY? SOUR.
My mother got diabetes when she was 57., MY MOTHER AGE 57 HIT DIABETES.
My neighbor is kind because he mows my yard., MY NEIGHBOR HE KIND MOW MY YARD.
My house has a good security system., GOOD SECURITY SYSTEM MY HOUSE HAS.
Don't forget to set your clock to fall back in the Fall., FALL DON'T FORGET FALL BACK.
Don't forget time springs forward in the Spring., SPRING DON'T FORGET TIME SPRING FORWARD.
Al Roker is my favorite weather person., AL ROKER HE MY FAVORITE WEATHER PERSON.
Derrick Coleman was the first deaf football player to participate in the Super Bowl in 2014., YEAR 2014 D-E-R-R-I-C-K C-O-L-E-M-A-N HE FIRST DEAF FOOTBALL PLAYER INVOLVED SUPER BOWL.
I'm proud of my grandson because out of 30 questions on his spelling test he only got 2 wrong., SPELLING TEST 30 QUESTION MY GRANDSON ONLY 2 WRONG I PROUD.
They dye the river green for St. Patrick's Day in Chicago every year., EVERY YEAR ST. PATRICK'S DAY CHICAGO RIVER DYE POUR POUR GREEN.
In 1864 Abraham Lincoln approved Gallaudet College to award degrees., YEAR 1864 ABRAHAM LINCOLN APPROVED GALLAUDET COLLEGE AWARDED DEGREES.
I don't sew because I'm all thumbs., SEWING ME ALL THUMBS.
I couldn't pay attention to the movie because I had ants in my pants., MOVIE I CAN'T PAY ATTENTION ME ANTS IN YOUR PANTS.
I had an axe to grind with the bakery after they messed up my birthday cake., BAKERY MESSED UP MY BIRTHDAY CAKE I AXE TO GRIND.
Please stop beating around the bush and get to the point., PLEASE STOP BEATING AROUND THE BUSH GET TO THE POINT.
I like to surprise my better half by bringing him breakfast in bed on Valentine's Day, VALENTINE'S DAY I LIKE SURPRISE MY BETTER HALF (husband) HOW? BREAKFAST BED I BRING.
I feel like I'm between a rock and a hard place when I have to choose where to eat for Thanksgiving between my family's house or my husband's family's house., THIS THANKSGIVING EAT MY FAMILY HUSBANDS FAMILY I BETWEEN A ROCK AND A HARD PLACE WHICH THIS OR THAT.
I need to bite the bullet and clean my messy basement., MESSY BASEMENT MUST CLEAN BITE THE BULLET ME.
I feel bad for my sister because her boyfriend has been catting around and she doesn't know it., MY SISTERS BOYFRIEND CATTING AROUND I FEEL BAD SHE CLUELESS.
Why are you crabby? Chill out., WHY YOU CRABBY? CHILL OUT.
There is no way I'm buying that bag. It costs an arm and a leg!, THAT BAG NO I NOT BUY COST AN ARM AND A LEG.
If you are late for class it's curtains for you because you can't get in., IF YOU LATE CLASS CURTAINS-FOR-YOU CANNOT GET IN.
Cut the bull. You always lie., YOU LIE LIE LIE CUT THE BULL.
Most people think learning ASL is easy peasy but no it is challenging., MOST PEOPLE THINK LEARNING ASL EASY PEASY NO CHALLENGING.
The football players all got new Nike shoes., #ALL FOOTBALL PLAYERS GOT NEW N-I-K-E SHOES.
I move to a new apartment soon., NEW #APT I MOVE SOON.
I plan to ask my dad to borrow his car., MY FATHER HIS CAR I PLAN #ASK BORROW.
Wow! This week I am busy., WOW THIS WEEK I #BUSY.
I went to the doctor to test my cholesterol and it was high., DOCTOR I GO TEST #CHOL HIGH.
My parents are members of the Indianapolis Deaf Club., INDIANAPOLIS DEAF #CLUB MY PARENTS MEMBERS.
My father worked at the Otis Elevator Company for many years., O-T-I-S ELEVATOR #CO MANY YEARS MY FATHER WORK THERE.
Do you want to go to the new barbecue restaurant that recently opened?, RECENTLY NEW #BBQ RESTAURANT OPEN WANNA GO?
Don't forget to get a flu shot this year., THIS YEAR #FLU SHOT DON'T FORGET.
Don't forget to get a flu shot this year., THIS YEAR #FLU SHOT DON'T FORGET.
I bought bananas two days ago and now they are no good., TWO DAYS AGO I BOUGHT BANANAS NOW #NG.
That restaurant only accepts cash., THAT RESTAURANT ONLY ACCEPTS #CASH.
While I was biking I accidentally swallowed a bug., ME BIKING WRONG #BUG SWALLOW.
I like books., I LIKE BOOKS.
I love books., I LOVE BOOKS.
I dislike books., I DISLIKE BOOKS.
I hate books., I HATE BOOKS.
Do you like books?, YOU LIKE BOOKS?
I like trees., I LIKE TREES.
I love trees., I LOVE TREES.
I dislike trees., I DISLIKE TREES.
I hate trees., I HATE TREES.
Do you like trees?, YOU LIKE TREES?
I like ice cream., I LIKE ICE CREAM.
I love ice cream., I LOVE ICE CREAM.
I dislike ice cream., I DISLIKE ICE CREAM
I hate ice cream., I HATE ICE CREAM.
Do you like ice cream?, YOU LIKE ICE CREAM?
Jim loves Jen., J-I-M LOVES J-E-N.
Jen hates Jim., J-E-N HATES J-I-M.
I like telephones., I LIKE TELEPHONES.
I love telephones., I LOVE TELEPHONES.
I dislike telephones., I DISLIKE TELEPHONES.
I hate telephones., I HATE TELEPHONES.
Do you like telephones?, YOU LIKE TELEPHONES?
I love my telephone., I LOVE MY TELEPHONE.
What time is it?, WHAT TIME?
Is it time to eat?, TIME EAT?
Is it time to call you?, TIME CALL?
What time is it?, TIME?
I like to drink., I LIKE DRINK.
I love to drink., I LOVE DRINK.
I don't like to drink., I DON'T LIKE DRINK.
I hate to drink., I HATE DRINK.
Do you like to drink?, YOU LIKE DRINK?
I like to eat., I LIKE EAT.
I love to eat., I LOVE EAT.
I don't like to eat., I DON'T LIKE EAT.
I hate to eat., I HATE EAT.
Do you like to eat?, YOU LIKE EAT?
I like airplanes., I LIKE AIRPLANES.
I don't like airplanes., I DON'T LIKE AIRPLANES.
I hate airplanes., I HATE AIRPLANES.
Do you like airplanes?, YOU LIKE AIRPLANES?
Jim hates airplanes., J-I-M HATES AIRPLANES.
I like cars., I LIKE CARS.
I love cars., I LOVE CARS.
I hate cars., I HATE CARS.
Do you like cars?, YOU LIKE CARS?
I like motorcycles., I LIKE MOTORCYCLES.
I love motorcycles., I LOVE MOTORCYCLES.
I don't like motorcycles., I DON'T LIKE MOTORCYCLES.
I hate motorcycles., I HATE MOTORCYCLES.
Do you like motorcycles?, YOU LIKE MOTORCYCLES?
Joe loves motorcycles., J-O-E LOVES MOTORCYCLES.
Yes I love motorcycles and airplanes., YES I LOVE MOTORCYCLES AIRPLANES.
I like bicycles., I LIKE BICYCLES.
I love bicycles., I LOVE BICYCLES.
I don't like bicycles., I DON'T LIKE BICYCLES.
I hate bicycles., I HATE BICYCLES.
Do you like bicycles?, YOU LIKE BICYCLES?
Do you bike?, YOU BIKE?
I like to walk., I LIKE WALK.
I love to walk., I LOVE WALK.
I don't like to walk., I DON'T LIKE WALK.
I hate to walk., I HATE WALK.
Do you like to walk?, YOU LIKE WALK?
I like babies., I LIKE BABIES.
I love babies., I LOVE BABIES.
I don't like babies., I DON'T LIKE BABIES.
I hate babies., I HATE BABIES.
Do you like babies?, YOU LIKE BABIES?
Tom loves babies., T-O-M LOVES BABIES.
I love my baby., I LOVE MY BABY.
I like balls., I LIKE BALLS.
I love balls., I LOVE BALLS.
I don't like balls., I DON'T LIKE BALLS.
I hate balls., I HATE BALLS.
Do you like balls?, YOU LIKE BALLS?
I like milk., I LIKE MILK.
I love milk., I LOVE MILK.
I don't like milk., I DON'T LIKE MILK.
I hate milk., I HATE MILK.
Do you like milk?, YOU LIKE MILK?
Mia hates milk., M-I-A HATES MILK.
Do you drink milk?, YOU DRINK MILK?
I like pencils., I LIKE PENCILS.
I love pencils., I LOVE PENCILS.
I don't like pencils., I DON'T LIKE PENCILS.
I hate pencils., I HATE PENCILS.
Do you like pencils?, YOU LIKE PENCILS?
I like to write., I LIKE WRITE.
I love to write., I LOVE WRITE.
I don't like to write., I DON'T LIKE WRITE.
I hate to write., I HATE WRITE.
Do you like to write?, YOU LIKE WRITE?
Tom loves writing., T-O-M LOVES WRITING.
I love to write books., I LOVE WRITE BOOKS.
Do you write books?, YOU WRITE BOOKS?
I like typing., I LIKE TYPING.
I love typing., I LOVE TYPING.
I don't like typing., I DON'T LIKE TYPING.
I hate typing., I HATE TYPING.
Do you like typing?, YOU LIKE TYPING?
Can you type?, YOU TYPE?
I like playing the piano., I LIKE PIANO.
I love playing the piano., I LOVE PIANO.
I don't like playing the piano., I DON'T LIKE PIANO.
I hate playing the piano., I HATE PIANO.
Do you love playing the piano?, YOU LOVE PIANO?
I love my Yamaha piano., I LOVE MY Y-A-M-A-H-A PIANO.
Are you deaf?, YOU DEAF?
Are you hearing or deaf?, YOU HEARING DEAF?
I am deaf., I DEAF.
Are you hearing?, YOU HEARING?
I am hearing., I HEARING.
Are you hard of hearing?, YOU HARD OF HEARING?
I am hard of hearing., I HARD OF HEARING.
Sam hates me., S-A-M HATES ME.
I love Bob., I LOVE B-O-B.
Do you love me?, YOU LOVE ME?
Dan loves me., D-A-N LOVES ME.
Kim hates me., K-I-M HATES ME.
I love my bicycle., I LOVE MY BICYCLE.
I hate my car., I HATE MY CAR.
Your name is Henry., YOUR NAME H-E-N-R-Y.
Is your name Tina?, YOUR NAME T-I-N-A?
You and me like ice cream., YOU ME LIKE ICE CREAM.
I like you., I LIKE YOU.
Yes I like books., YES I LIKE BOOKS.
Yes I'm deaf., YES I DEAF.
No I don't like motorcycles., NO I DON'T LIKE MOTORCYCLES.
No I'm not deaf., NO I DEAF.
No I'm not deaf., DEAF ME NO.
Hi my name is BC., HI MY NAME BC (sign name).
Hi what's your name?, HI WHAT YOUR NAME?
I failed to fool you; you are too clever., I FAILED FOOL YOU CLEVER DARN IT.
I'm a grouch because my wifi broke., MY WIFI DOWN I GROUCH.
Happy Pride Month from the Signing Savvy team., HAPPY PRIDE MONTH FROM US SIGNING SAVVY TEAM.
My daughter earns good tips working as a waitress., MY DAUGHTER WORKS WAITRESS SHE EARNS GOOD TIPS.
My daughter earns good tips working as a waitress., MY DAUGHTER WORKS WAITRESS SHE EARNS GOOD TIPS.
I used to work at the Indiana School for the Deaf., INDIANA DEAF SCHOOL LONG AGO I WORK THERE.
My class always starts on time., MY CLASS ALWAYS STARTS ON TIME.
Please be on time for work., WORK YOU ON TIME PLEASE.
It's time to go home., TIME GO HOME.
Are you right handed or left handed?, YOU RIGHT HANDED LEFT HANDED WHICH?
My son and daughter are both deaf., MY SON AND DAUGHTER BOTH DEAF.
I plan to retire next year., NEXT YEAR I PLAN RETIRE.
My grandfather looks like Santa Claus., MY GRANDFATHER LOOKS LIKE SANTA CLAUS.
My microwave blew up yesterday., YESTERDAY MY MICROWAVE BLEW UP.
I am good. How are you?, I GOOD. HOW YOU?
I am bad. How are you?, I BAD. HOW YOU?
I am fine. How are you?, I FINE. HOW YOU?
I am OK. How are you?, I O-K. HOW YOU?
I am so-so. How are you?, I SO-SO. HOW YOU?
Are you deaf?, YOU DEAF?
Are you deaf?, DEAF?
Are you hearing?, YOU HEARING?
Are you hearing?, HEARING?
Are you deaf?, DEAF YOU?
Are you hearing?, HEARING YOU?
I am deaf., I DEAF.
I am deaf., DEAF I.
I am hearing., I HEARING.
I am hearing., HEARING I.
Bob is 48., B-O-B AGE 48.
Jim is 67., J-I-M AGE 67.
Kit is 21., K-I-T AGE 21.
Ava is 58., A-V-A AGE 58.
Sam is 72., S-A-M AGE 72.
Jon is 19., J-O-N AGE 19.
Max is 3., M-A-X AGE 3.
Mia is 1., M-I-A AGE 1.
Ali is 7., A-L-I AGE 7.
Bill was born in 1964., YEAR 1964 B-I-L-L BORN.
John died in 1974., YEAR 1974 J-O-H-N DIED.
My birthday is November 2nd., MY BIRTHDAY N-O-V 2.
Yesterday Phil got married., YESTERDAY P-H-I-L MARRIED.
Is your birthday in August?, YOUR BIRTHDAY A-U-G?
Mary was born at 6:00 AM., TIME 6 AM M-A-R-Y BORN.
Kat died at 3:00 PM., TIME 3 AFTERNOON K-A-T DIED.
Rick got married at 10:00 AM., TIME 10 MORNING R-I-C-K MARRIED.
Susan was born at 6:00 PM., TIME 6 PM S-U-S-A-N BORN.
Will died at 8:00 PM., TIME 8 NIGHT W-I-L-L DIED.
Mary was born in 1797., YEAR 1797 M-A-R-Y BORN.
Lilly died in 1967., YEAR 1967 L-I-L-L-Y DIED.
Amber died in 2006., YEAR 2006 A-M-B-E-R DIED.
I was born January 29 1959., I BORN J-A-N 29 YEAR 1959.
I got married March 17 2005., I MARRIED M-A-R-C-H 17 YEAR 2005.
I got married November 23 2021., I MARRIED N-O-V 23 YEAR 2021.
Fiona got married on May 2 2003., F-I-O-N-A MARRIED MAY 2nd YEAR 2003.
Richard got married on June 14 2006., R-I-C-H-A-R-D MARRIED JUNE 14 YEAR 2006.
Kasha's birthday is January 12., K-A-S-H-A BIRTHDAY JAN 12.
Vicky's birthday is December 1st., V-I-C-K-Y BIRTHDAY DEC 1st.
Emily was born in the month of March., E-M-I-L-Y BORN MONTH M-A-R-C-H.
Today I drank 7 glasses of milk., TODAY 7 MILKS I DRANK.
Susan was born at 4:30 in the afternoon., S-U-S-A-N BORN TIME 4:30 AFTERNOON.
Brian birthday is July 12 1971., B-R-I-A-N BIRTHDAY JULY 12 YEAR 1971.
Thank you for your service., THANK YOU FOR YOUR SERVICE.
Thank you for your military service., THANK YOU FOR YOUR MILITARY SERVICE.
Help me decorate for the birthday party please., BIRTHDAY PARTY DECORATE HELP ME PLEASE.
I was born September 15 1985 at 10 PM., SEPT 15 YEAR 1985 TIME 10 PM I BORN.
My friend was born at 6 PM on April 27 1977., APRIL 27 YEAR 1977 TIME 6 PM MY FRIEND BORN.
My best friend's birthday is March 15 1956., MARCH 15 YEAR 1956 MY BEST FRIEND BIRTHDAY.
Your teacher's birthday is Tuesday December 15., TUESDAY DECEMBER 15 YOUR TEACHER BIRTHDAY.
I was married on Saturday April 25 1965 at 1:30., SATURDAY APRIL 25 YEAR 1965 TIME 1:30 I MARRIED.
On Sunday June 13 I will be 17 years old., SUNDAY JUNE 13 MY BIRTHDAY ME OLD 17.
Today is Wednesday February 11 2002., TODAY WEDNESDAY FEB 11 YEAR 2002.
My student ID is 23689., MY STUDENT ID NUMBER 2 3 6 8 9.
Hi Nikki. How are you?, HI N-I-K-K-I. HOW YOU?
I dislike 737 airplanes., I DISLIKE 7 3 7 AIRPLANES.
Hello Brad. Nice to meet you again., HELLO B-R-A-D. NICE MEET YOU AGAIN.
No Julie I dislike milk., NO J-U-L-I-E I DISLIKE MILK.
My friend Sammy likes motorcycles., MY FRIEND S-A-M-M-Y LIKES MOTORCYCLES.
How old are you?, HOW OLD YOU?
I am 29 years old., I OLD 29.
How old is your sister?, YOUR SISTER HOW OLD?
My sister is 33 years old., MY SISTER OLD 33.
How old is your niece?, YOUR NIECE HOW OLD?
My niece is 16 years old., MY NIECE OLD 16.
How old is your father?, YOUR FATHER HOW OLD?
My father is 37 years old., MY FATHER OLD 37.
How old is your brother?, YOUR BROTHER HOW OLD?
My brother is 24 years old., MY BROTHER OLD 24.
How old is your uncle?, YOUR UNCLE HOW OLD?
My uncle is 46 years old., MY UNCLE OLD 46.
How old is your cousin (male)?, YOUR COUSIN HOW OLD?
My cousin (male) is 39 years old., MY COUSIN OLD 39.
How old is your cousin (female)?, YOUR COUSIN HOW OLD?
My cousin (female) is 3 years old., MY COUSIN OLD 3.
How old is your mother?, YOUR MOTHER HOW OLD?
My mother is 62 years old., MY MOTHER OLD 62.
How old is your aunt?, YOUR AUNT HOW OLD?
My aunt is 60 years old., MY AUNT OLD 60.
How old is your nephew?, YOUR NEPHEW HOW OLD?
My nephew is 9 years old., MY NEPHEW OLD 9.
How old is your niece?, YOUR NIECE HOW OLD?
My niece is 6 years old., MY NIECE OLD 6.
How old is your grandma?, YOUR GRANDMA HOW OLD?
My grandma is 94 years old., MY GRANDMA OLD 94.
How old is your grandpa?, YOUR GRANDPA HOW OLD?
My grandpa is 75 years old., MY GRANDPA OLD 75.
How old is your son?, YOUR SON HOW OLD?
My son is 11 years old., MY SON OLD 11.
How old is your daughter?, YOUR DAUGHTER HOW OLD?
My daughter is 1 year old., MY DAUGHTER OLD 1.
